keahlian,keahlian_normalisasi,minat,pendidikan,jurusan,sertifikasi,ipk,label_karir,kategori_keahlian,pemetaan_tugas,keahlian_dibutuhkan,keahlian_kurang,kursus_rekomendasi,jalur_belajar,label_karir_sederhana,profil_gabungan,flag_ketidaksesuaian,data_augmentasi,encode_label_karir,encode_label_karir_sederhana,encode_pendidikan,encode_kategori_keahlian
"pemasaran digital, seo, content creation","pemasaran digital, seo, content creation","pemasaran, media sosial",Magister,bisnis,Tidak Ada Sertifikasi,2.96,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content creation pemasaran media sosial bisnis pemasaran,valid,Ya,24,5,1,7
"pemasaran digital, analytics, seo","pemasaran digital, analytics, seo","digital marketing, media",Sarjana,pemasaran,CFA Level 1,3.32,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital analytics seo digital marketing media pemasaran pemasaran,valid,Ya,24,5,3,7
"social media marketing, seo, pemasaran digital","social media marketing, seo, pemasaran digital","pemasaran, media sosial",SMA/Sederajat,komunikasi,Tidak Ada Sertifikasi,3.04,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,social media marketing seo pemasaran digital pemasaran media sosial komunikasi pemasaran,valid,Ya,24,5,2,7
"pemasaran digital, email marketing, seo","pemasaran digital, email marketing, seo","pemasaran, media sosial",SMA/Sederajat,pemasaran,Tidak Ada Sertifikasi,3.48,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital email marketing seo pemasaran media sosial pemasaran pemasaran,valid,Ya,24,5,2,7
"pemasaran digital, seo, content creation","pemasaran digital, seo, content creation","pemasaran, media sosial",SMA/Sederajat,komunikasi,Sertifikasi Pemasaran Digital,3.24,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content creation pemasaran media sosial komunikasi pemasaran,valid,Ya,24,5,2,7
"social media marketing, seo, pemasaran digital","social media marketing, seo, pemasaran digital","pemasaran, media sosial",Sarjana,komunikasi,Google Data Analytics,3.04,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,social media marketing seo pemasaran digital pemasaran media sosial komunikasi pemasaran,valid,Ya,24,5,3,7
"social media marketing, seo, pemasaran digital","social media marketing, seo, pemasaran digital","digital marketing, media",Sarjana,komunikasi,CFA Level 1,3.08,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,social media marketing seo pemasaran digital digital marketing media komunikasi pemasaran,valid,Ya,24,5,3,7
"pemasaran digital, seo, content creation","pemasaran digital, seo, content creation","pemasaran, media sosial",Doktor,bisnis,Google Data Analytics,2.96,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content creation pemasaran media sosial bisnis pemasaran,valid,Ya,24,5,0,7
"pemasaran digital, email marketing, seo","pemasaran digital, email marketing, seo","pemasaran, komunikasi",Sarjana,komunikasi,Tidak Ada Sertifikasi,3.12,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital email marketing seo pemasaran komunikasi komunikasi pemasaran,valid,Ya,24,5,3,7
"penulisan konten, seo, media sosial","penulisan konten, seo, media sosial","marketing, business",Sarjana,bisnis,AWS Certified,3.44,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,penulisan konten seo media sosial marketing business bisnis pemasaran,valid,Ya,24,5,3,7
"pemasaran digital, seo, content creation","pemasaran digital, seo, content creation","pemasaran, media sosial",SMA/Sederajat,bisnis,Sertifikasi Pemasaran Digital,3.04,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content creation pemasaran media sosial bisnis pemasaran,valid,Ya,24,5,2,7
"pemasaran digital, analytics, seo","pemasaran digital, analytics, seo","pemasaran, media sosial",SMA/Sederajat,bisnis,Google Data Analytics,2.92,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital analytics seo pemasaran media sosial bisnis pemasaran,valid,Ya,24,5,2,7
"pemasaran digital, seo, content strategy","pemasaran digital, seo, content strategy","digital marketing, media",Magister,bisnis,CFA Level 1,3.28,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content strategy digital marketing media bisnis pemasaran,valid,Ya,24,5,1,7
"pemasaran digital, seo, content creation","pemasaran digital, seo, content creation","pemasaran, komunikasi",SMA/Sederajat,pemasaran,AWS Certified,3.08,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content creation pemasaran komunikasi pemasaran pemasaran,valid,Ya,24,5,2,7
"social media marketing, seo, pemasaran digital","social media marketing, seo, pemasaran digital","pemasaran, komunikasi",SMA/Sederajat,komunikasi,Sertifikasi Pemasaran Digital,3.16,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,social media marketing seo pemasaran digital pemasaran komunikasi komunikasi pemasaran,valid,Ya,24,5,2,7
"google ads, seo, pemasaran digital","google ads, seo, pemasaran digital","digital marketing, media",Sarjana,pemasaran,AWS Certified,3.28,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,google ads seo pemasaran digital digital marketing media pemasaran pemasaran,valid,Ya,24,5,3,7
"google ads, seo, pemasaran digital","google ads, seo, pemasaran digital","pemasaran, media sosial",SMA/Sederajat,pemasaran,Sertifikasi Pemasaran Digital,3.16,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,google ads seo pemasaran digital pemasaran media sosial pemasaran pemasaran,valid,Ya,24,5,2,7
"pemasaran digital, email marketing, seo","pemasaran digital, email marketing, seo","pemasaran, media sosial",SMA/Sederajat,bisnis,CFA Level 1,3.48,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital email marketing seo pemasaran media sosial bisnis pemasaran,valid,Ya,24,5,2,7
"pemasaran digital, seo, content creation","pemasaran digital, seo, content creation","digital marketing, media",Sarjana,bisnis,CFA Level 1,3.12,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content creation digital marketing media bisnis pemasaran,valid,Ya,24,5,3,7
"pemasaran digital, analytics, seo","pemasaran digital, analytics, seo","digital marketing, media",Magister,komunikasi,Sertifikasi Pemasaran Digital,3.04,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital analytics seo digital marketing media komunikasi pemasaran,valid,Ya,24,5,1,7
"pemasaran digital, seo, content strategy","pemasaran digital, seo, content strategy","marketing, business",Magister,pemasaran,Google Data Analytics,3.12,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content strategy marketing business pemasaran pemasaran,valid,Ya,24,5,1,7
"pemasaran digital, seo, content creation","pemasaran digital, seo, content creation","pemasaran, komunikasi",Magister,bisnis,Tidak Ada Sertifikasi,3.04,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content creation pemasaran komunikasi bisnis pemasaran,valid,Ya,24,5,1,7
"social media marketing, seo, pemasaran digital","social media marketing, seo, pemasaran digital","digital marketing, media",Sarjana,bisnis,AWS Certified,3.28,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,social media marketing seo pemasaran digital digital marketing media bisnis pemasaran,valid,Ya,24,5,3,7
"pemasaran digital, analytics, seo","pemasaran digital, analytics, seo","pemasaran, media sosial",Sarjana,komunikasi,Sertifikasi Pemasaran Digital,2.96,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital analytics seo pemasaran media sosial komunikasi pemasaran,valid,Ya,24,5,3,7
"social media marketing, seo, pemasaran digital","social media marketing, seo, pemasaran digital","pemasaran, media sosial",Doktor,pemasaran,Google Data Analytics,3.44,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,social media marketing seo pemasaran digital pemasaran media sosial pemasaran pemasaran,valid,Ya,24,5,0,7
"pemasaran digital, email marketing, seo","pemasaran digital, email marketing, seo","pemasaran, media sosial",Sarjana,komunikasi,Sertifikasi Pemasaran Digital,3.28,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital email marketing seo pemasaran media sosial komunikasi pemasaran,valid,Ya,24,5,3,7
"pemasaran digital, seo, content strategy","pemasaran digital, seo, content strategy","pemasaran, media sosial",SMA/Sederajat,pemasaran,Tidak Ada Sertifikasi,3.4,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content strategy pemasaran media sosial pemasaran pemasaran,valid,Ya,24,5,2,7
"social media marketing, seo, pemasaran digital","social media marketing, seo, pemasaran digital","pemasaran, komunikasi",Doktor,komunikasi,Sertifikasi Pemasaran Digital,3.36,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,social media marketing seo pemasaran digital pemasaran komunikasi komunikasi pemasaran,valid,Ya,24,5,0,7
"penulisan konten, seo, media sosial","penulisan konten, seo, media sosial","digital marketing, media",Doktor,komunikasi,Tidak Ada Sertifikasi,3.16,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,penulisan konten seo media sosial digital marketing media komunikasi pemasaran,valid,Ya,24,5,0,7
"pemasaran digital, seo, content creation","pemasaran digital, seo, content creation","digital marketing, media",Sarjana,bisnis,Google Data Analytics,3.04,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content creation digital marketing media bisnis pemasaran,valid,Ya,24,5,3,7
"pemasaran digital, seo, content strategy","pemasaran digital, seo, content strategy","pemasaran, komunikasi",SMA/Sederajat,pemasaran,Google Data Analytics,3.48,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital seo content strategy pemasaran komunikasi pemasaran pemasaran,valid,Ya,24,5,2,7
"social media marketing, seo, pemasaran digital","social media marketing, seo, pemasaran digital","pemasaran, komunikasi",Doktor,komunikasi,AWS Certified,3.44,Pemasar Digital,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,social media marketing seo pemasaran digital pemasaran komunikasi komunikasi pemasaran,valid,Ya,24,5,0,7
"pemasaran digital, market research, crm","pemasaran digital, market research, crm","pemasaran, manajemen",Magister,komunikasi,Tidak Ada Sertifikasi,3.44,Manajer Pemasaran,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,pemasaran digital market research crm pemasaran manajemen komunikasi pemasaran,valid,Ya,21,5,1,7
"marketing strategy, brand management, digital marketing","marketing strategy, brand management, digital marketing","strategi, pemasaran",Magister,bisnis,Google Data Analytics,2.92,Manajer Pemasaran,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,marketing strategy brand management digital marketing strategi pemasaran bisnis pemasaran,valid,Ya,21,5,1,7
"brand management, content strategy, pemasaran digital","brand management, content strategy, pemasaran digital","pemasaran, manajemen",SMA/Sederajat,komunikasi,Tidak Ada Sertifikasi,3.28,Manajer Pemasaran,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,brand management content strategy pemasaran digital pemasaran manajemen komunikasi pemasaran,valid,Ya,21,5,2,7
"marketing automation, crm, pemasaran digital","marketing automation, crm, pemasaran digital","marketing, business",SMA/Sederajat,bisnis,Google Data Analytics,3.36,Manajer Pemasaran,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,marketing automation crm pemasaran digital marketing business bisnis pemasaran,valid,Ya,21,5,2,7
"marketing strategy, pemasaran digital, crm","marketing strategy, pemasaran digital, crm","bisnis, marketing",Magister,komunikasi,CFA Level 1,3.08,Manajer Pemasaran,pemasaran,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pemasaran,marketing strategy pemasaran digital crm bisnis marketing komunikasi pemasaran,valid,Ya,21,5,1,7
